version,n_words,training_size_percent,lambda,fold,training_documents,vocabulary_size,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,TCR
stop,all,30,1,4,783,25671,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9930795847750865,24.0
stop,all,30,9,4,783,25671,289,48,241,288,0.9965397923875432,48,240,1,0,0.9795918367346939,1.0,0.9959404600811907,5.333333333333333
stop,all,30,99,4,783,25671,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.48
stop,all,30,1,5,783,25839,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.996551724137931,48.0
stop,all,30,9,5,783,25839,290,48,242,288,0.993103448275862,46,242,0,2,1.0,0.9583333333333334,0.9991015274034142,24.0
stop,all,30,99,5,783,25839,290,48,242,285,0.9827586206896551,43,242,0,5,1.0,0.8958333333333334,0.9997917187369825,9.6
stop,all,30,1,6,783,25789,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,inf
stop,all,30,9,6,783,25789,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,inf
stop,all,30,99,6,783,25789,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,inf
stop,all,30,1,7,783,26243,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,24.0
stop,all,30,9,7,783,26243,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9995489400090212,48.0
stop,all,30,99,7,783,26243,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9999581712469151,48.0
stop,all,30,1,8,783,25885,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,12.0
stop,all,30,9,8,783,25885,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9878213802435724,1.7777777777777777
stop,all,30,99,8,783,25885,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9875768603337934,0.16161616161616163
stop,all,30,1,9,783,26175,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9757785467128027,6.857142857142857
stop,all,30,9,9,783,26175,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9972936400541272,8.0
